date,site_visits,orders_count,revenue_usd,support_tickets,promo_flag
2025-06-05,3891,118,10034.7,15,0
2025-06-06,4265,167,11909.96,33,0
2025-06-07,5354,252,21737.34,32,0
2025-06-08,5197,213,15399.04,25,0
2025-06-09,4012,148,9884.15,29,0
2025-06-10,4349,138,10652.9,28,0
2025-06-11,4265,140,10459.89,32,0
2025-06-12,4173,153,9454.05,27,0
2025-06-13,3929,160,10441.2,17,0
2025-06-14,5674,230,15508.19,31,0
2025-06-15,5956,260,20107.47,28,0
2025-06-16,4151,138,10554.36,23,0
2025-06-17,4271,136,11012.15,31,0
2025-06-18,4099,162,11231.5,30,0
2025-06-19,4105,113,8600.75,26,0
2025-06-20,4345,109,7101.0,17,0
2025-06-21,5042,194,15033.9,18,0
2025-06-22,4606,196,14058.16,27,0
2025-06-23,4149,177,13203.07,37,0
2025-06-24,4883,189,13869.26,29,0
2025-06-25,4521,160,11387.13,25,0
2025-06-26,4314,137,9545.81,26,0
2025-06-27,4174,115,9768.11,25,0
2025-06-28,5328,232,16630.09,31,0
2025-06-29,5454,214,15812.92,29,0
2025-06-30,4120,144,9701.71,29,0
2025-07-01,3884,137,10956.19,24,0
2025-07-02,3647,131,8393.33,36,0
2025-07-03,4350,142,10534.59,32,0
2025-07-04,4301,147,9395.87,31,0
2025-07-05,5038,241,20932.0,33,0
2025-07-06,5500,211,15858.39,28,0
2025-07-07,4366,172,11928.01,22,0
2025-07-08,4179,153,12759.88,24,0
2025-07-09,4390,139,11163.77,30,0
2025-07-10,4002,123,10719.79,26,0
2025-07-11,4298,136,9327.59,21,0
2025-07-12,5183,228,16733.91,27,0
2025-07-13,5064,236,18604.07,29,0
2025-07-14,4305,154,11985.57,32,0
2025-07-15,4667,138,9869.53,36,0
2025-07-16,4523,128,9241.91,15,0
2025-07-17,3645,123,8750.08,13,0
2025-07-18,4686,116,8545.76,29,0
2025-07-19,5050,213,17161.33,31,0
2025-07-20,5218,250,17116.68,27,0
2025-07-21,4110,135,9313.76,27,0
2025-07-22,4207,156,11450.17,16,0
2025-07-23,4206,139,9823.07,23,0
2025-07-24,3934,144,9753.55,27,0
2025-07-25,4245,146,11869.84,22,0
2025-07-26,5116,203,13411.94,29,0
2025-07-27,4771,206,15288.32,27,0
2025-07-28,4322,162,11993.7,29,0
2025-07-29,4346,141,6873.01,24,0
2025-07-30,4227,149,9937.57,27,0
2025-07-31,4027,148,11824.45,27,0
2025-08-01,5033,210,17654.06,29,0
2025-08-02,5146,254,15799.77,20,0
2025-08-03,5071,222,13140.18,26,0
2025-08-04,4264,146,10831.02,31,0
2025-08-05,4469,165,13370.1,31,0
2025-08-06,4435,147,9658.12,27,0
2025-08-07,3960,132,8916.28,22,0
2025-08-08,3997,128,8721.66,20,0
2025-08-09,5188,208,14426.6,39,0
2025-08-10,5177,233,18492.88,30,0
2025-08-11,3953,118,9628.35,26,0
2025-08-12,4827,145,10149.33,32,0
2025-08-13,4770,166,13299.79,36,0
2025-08-14,4017,151,10472.72,23,0
2025-08-15,4125,133,9673.89,18,0
2025-08-16,5227,256,16582.65,32,0
2025-08-17,5040,204,13325.71,30,0
2025-08-18,4163,150,9437.62,28,0
2025-08-19,4468,151,10110.82,24,0
2025-08-20,4068,129,12214.7,30,0
2025-08-21,4308,132,7152.05,27,0
2025-08-22,4066,160,9974.15,41,0
2025-08-23,5784,261,22652.66,22,0
2025-08-24,5629,241,16853.39,26,0
2025-08-25,4235,186,12080.6,15,0
2025-08-26,3760,124,9304.83,15,0
2025-08-27,4275,121,8809.48,27,0
2025-08-28,4437,147,10457.1,31,0
2025-08-29,4369,160,10920.22,31,0
2025-08-30,4720,246,20598.99,22,0
2025-08-31,5169,208,13527.68,30,0
2025-09-01,3265,104,7644.07,32,0
2025-09-02,3918,151,11570.47,23,0
2025-09-03,4280,162,12407.08,20,0
2025-09-04,3991,118,8193.79,30,0
2025-09-05,4464,130,9478.43,23,0
2025-09-06,5250,237,17924.89,18,0
2025-09-07,5604,229,14626.3,20,0
2025-09-08,4569,132,11388.89,33,0
2025-09-09,4076,130,6790.67,26,0
2025-09-10,4397,157,11430.8,21,0
2025-09-11,3922,135,9400.36,32,0
2025-09-12,3903,137,9342.35,31,0
2025-09-13,5068,208,14871.49,33,0
2025-09-14,4860,213,14165.44,25,0
2025-09-15,4192,139,9923.5,24,0
2025-09-16,4582,163,10666.36,27,0
2025-09-17,4082,151,11997.58,24,0
2025-09-18,3772,144,11433.39,25,0
2025-09-19,3543,111,8948.9,27,0
2025-09-20,4670,175,12662.24,31,0
2025-09-21,5186,223,17027.41,25,0
2025-09-22,4865,151,11091.74,25,0
2025-09-23,3900,123,8495.08,26,0
2025-09-24,4032,127,9399.97,27,0
2025-09-25,4355,143,10771.96,21,0
2025-09-26,4475,165,10544.19,36,0
2025-09-27,4925,211,19458.25,20,0
2025-09-28,5025,230,19066.83,25,0
2025-09-29,3588,117,7180.95,33,0
2025-09-30,4429,136,9042.69,26,0
2025-10-01,4030,160,10376.75,33,0
2025-10-02,3972,120,8739.58,27,0
2025-10-03,3739,143,9241.47,18,0
2025-10-04,4974,228,16675.1,22,0
2025-10-05,5264,211,15098.42,25,0
2025-10-06,4330,113,8365.89,22,0
2025-10-07,4864,151,10774.41,18,0
2025-10-08,3862,125,7945.6,23,0
2025-10-09,3972,162,13281.66,27,0
2025-10-10,4172,139,9323.06,28,0
2025-10-11,5462,244,19064.49,36,0
2025-10-12,5712,236,17062.3,19,0
2025-10-13,3963,121,7905.18,17,0
2025-10-14,4266,129,9114.27,32,0
2025-10-15,4151,126,9919.43,17,0
2025-10-16,4348,141,10434.81,30,0
2025-10-17,4571,144,10678.14,29,0
2025-10-18,5310,219,17508.83,26,0
2025-10-19,4492,197,13161.59,29,0
2025-10-20,4750,151,11117.17,32,0
2025-10-21,3792,162,12132.2,36,0
2025-10-22,4334,117,9031.86,27,0
2025-10-23,4439,138,9276.6,19,0
2025-10-24,3873,133,9853.67,35,0
2025-10-25,5262,235,17952.29,21,0
2025-10-26,5093,189,12703.63,30,0
2025-10-27,4043,133,9225.29,26,0
2025-10-28,4018,128,9759.3,18,0
2025-10-29,4436,180,14935.12,40,0
2025-10-30,3795,114,8711.66,24,0
2025-10-31,4424,149,12309.13,37,0
2025-11-01,6674,277,22100.7,20,0
2025-11-02,6045,263,16573.89,22,0
2025-11-03,5300,199,15861.52,35,0
2025-11-04,4926,187,11254.63,24,0
2025-11-05,5036,135,7619.36,36,0
2025-11-06,5112,152,9602.42,28,0
2025-11-07,5154,201,14549.93,23,0
2025-11-08,5568,201,13372.96,26,0
2025-11-09,5656,243,16771.74,27,0
2025-11-10,4633,149,10012.96,31,0
2025-11-11,4891,186,11919.48,32,0
2025-11-12,4244,172,10523.88,31,0
2025-11-13,4886,159,10960.98,36,0
2025-11-14,4099,118,7223.56,35,0
2025-11-15,5430,224,17717.45,31,0
2025-11-16,5823,210,16705.0,20,0
2025-11-17,4724,164,12577.63,23,0
2025-11-18,4962,181,12139.67,26,0
2025-11-19,5163,191,12864.68,43,0
2025-11-20,4916,179,12835.29,31,0
2025-11-21,4749,177,13273.41,20,0
2025-11-22,5637,221,13829.94,23,0
2025-11-23,6175,243,13704.05,20,0
2025-11-24,4986,164,11714.82,32,0
2025-11-25,5087,174,12372.15,22,0
2025-11-26,5273,180,11277.37,25,0
2025-11-27,5274,220,14751.56,26,0
2025-11-28,5253,181,13514.97,29,0
2025-11-29,6037,268,16990.6,17,0
2025-11-30,5674,239,15182.86,32,0
2025-12-01,4976,157,10918.22,29,0
2025-12-02,4774,172,12706.66,20,0
2025-12-03,5210,183,13606.69,30,0
2025-12-04,5111,175,11290.19,36,0
2025-12-05,4530,136,11176.73,27,0
2025-12-06,6195,268,16862.33,27,0
2025-12-07,6145,254,19949.55,30,0
2025-12-08,4939,164,10619.17,26,0
2025-12-09,4992,156,13104.76,30,0
2025-12-10,4506,138,10210.96,37,0
2025-12-11,4939,182,13743.0,25,0
2025-12-12,4566,171,11846.9,33,0
2025-12-13,5869,264,18499.0,18,0
2025-12-14,5785,271,25386.53,30,0
2025-12-15,4639,110,7584.96,28,0
2025-12-16,4923,156,11366.29,25,0
2025-12-17,5042,160,10622.36,28,0
2025-12-18,4686,175,11976.97,28,0
2025-12-19,4630,176,14108.76,23,0
2025-12-20,5831,257,16208.83,24,0
2025-12-21,6698,278,21714.0,21,0
2025-12-22,5194,163,12275.36,33,0
2025-12-23,5023,165,14132.76,25,0
2025-12-24,4357,171,13733.66,25,0
2025-12-25,5012,131,9669.32,29,0
2025-12-26,4723,168,11368.57,35,0
2025-12-27,6265,267,19906.0,27,0
2025-12-28,6445,272,19905.4,14,0
2025-12-29,4488,131,11391.11,22,0
2025-12-30,4419,159,13208.4,27,0
2025-12-31,4933,167,12596.66,23,0
2026-01-01,4254,123,9428.7,34,0
2026-01-02,4543,172,10273.64,23,0
2026-01-03,5008,220,14556.64,31,0
2026-01-04,5284,243,21124.49,24,0
2026-01-05,4299,150,10858.11,28,0
2026-01-06,4239,142,9623.54,21,0
2026-01-07,3949,106,7925.41,36,0
2026-01-08,4274,146,8844.68,28,0
2026-01-09,3988,126,9169.55,33,0
2026-01-10,5104,224,15286.72,33,0
2026-01-11,4711,213,15330.04,17,0
2026-01-12,3935,173,13179.24,38,0
2026-01-13,3974,140,10320.32,32,0
2026-01-14,3961,108,7316.49,33,0
2026-01-15,4252,148,10112.44,22,0
2026-01-16,4252,133,9043.63,34,0
2026-01-17,5238,218,15059.14,23,0
2026-01-18,4765,201,15046.91,21,0
2026-01-19,4318,118,9310.96,34,0
2026-01-20,4797,151,13494.35,28,0
2026-01-21,4275,162,12997.87,31,0
2026-01-22,3491,158,10796.48,30,0
2026-01-23,4105,136,9196.69,33,0
2026-01-24,5123,207,17385.86,28,0
2026-01-25,4783,233,18434.09,8,0
2026-01-26,4369,147,14370.39,40,0
2026-01-27,4053,128,10475.27,24,0
2026-01-28,3795,99,7727.82,32,0
2026-01-29,3597,136,9868.27,27,0
2026-01-30,4641,133,9115.56,30,0
2026-01-31,5279,213,12496.57,42,0
2026-02-01,5236,219,13337.39,40,0
2026-02-02,4079,153,12118.42,20,0
2026-02-03,4597,197,14010.96,23,0
2026-02-04,3971,114,8655.5,28,0
2026-02-05,3990,129,10003.46,21,0
2026-02-06,4153,126,8394.12,33,0
2026-02-07,5682,232,14289.97,33,0
2026-02-08,4894,192,13710.41,33,0
2026-02-09,3869,134,8257.0,30,0
2026-02-10,4411,163,11458.43,27,0
2026-02-11,4345,149,11606.07,41,0
2026-02-12,4398,128,9499.59,23,0
2026-02-13,4005,106,6257.75,25,0
2026-02-14,5765,262,15390.91,19,0
2026-02-15,5556,260,15449.76,21,0
2026-02-16,4223,149,9405.58,31,0
2026-02-17,3974,121,5710.0,34,0
2026-02-18,4074,158,9534.97,27,0
2026-02-19,4405,161,11882.75,22,0
2026-02-20,4910,174,11247.77,31,0
2026-02-21,5113,229,22432.77,30,0
2026-02-22,5827,270,16737.61,25,0
2026-02-23,3980,137,11198.6,21,0
2026-02-24,4283,136,8994.39,32,0
2026-02-25,3722,145,11489.42,29,0
2026-02-26,4158,146,10336.82,27,0
2026-02-27,4253,136,11125.77,36,0
2026-02-28,4815,201,15970.6,28,0
2026-03-01,7102,294,35721.8,40,1
2026-03-02,6604,242,30549.7,47,1
2026-03-03,6682,245,26322.17,32,1
2026-03-04,6871,245,30515.47,40,1
2026-03-05,6521,198,21315.9,34,1
2026-03-06,6443,242,24116.99,32,1
2026-03-07,8918,375,42679.44,38,1
2026-03-08,7932,329,34965.92,45,1
2026-03-09,6004,227,27584.05,43,1
2026-03-10,6281,183,18415.0,30,1
2026-03-11,6441,210,24779.38,33,1
2026-03-12,6406,240,29458.65,31,1
2026-03-13,6586,224,18417.24,43,1
2026-03-14,7648,296,36607.73,32,1
2026-03-15,6914,298,33666.64,36,1
2026-03-16,7058,232,31699.38,29,1
2026-03-17,5717,204,19103.16,35,1
2026-03-18,6986,234,24703.28,45,1
2026-03-19,6480,222,24812.92,38,1
2026-03-20,6571,240,26343.22,40,1
2026-03-21,8170,316,41313.75,33,1
2026-03-22,4519,166,11203.14,23,0
2026-03-23,4260,150,12243.05,31,0
2026-03-24,3746,123,9397.99,32,0
2026-03-25,4040,118,8391.5,29,0
2026-03-26,4353,148,9420.05,21,0
2026-03-27,3455,112,8542.92,39,0
2026-03-28,5906,279,16169.31,38,0
2026-03-29,4518,164,9713.8,33,0
2026-03-30,4111,134,8570.52,29,0
2026-03-31,4114,133,9627.55,15,0
2026-04-01,3948,166,10008.02,32,0
2026-04-02,4296,135,11194.68,29,0
2026-04-03,4370,147,10555.08,28,0
2026-04-04,5437,218,16973.52,41,0
2026-04-05,5698,229,15691.9,35,0
2026-04-06,3974,144,12314.87,40,0
2026-04-07,4417,155,9750.36,29,0
2026-04-08,4332,139,9643.65,25,0
2026-04-09,3707,77,6580.17,14,0
2026-04-10,4362,149,10180.23,32,0
2026-04-11,6115,264,18614.36,25,0
2026-04-12,5357,227,16103.39,14,0
2026-04-13,3256,108,8150.82,31,0
2026-04-14,4846,159,13681.84,28,0
2026-04-15,4202,125,9281.75,34,0
2026-04-16,4244,133,11375.01,29,0
2026-04-17,4391,165,12225.87,16,0
2026-04-18,4779,229,15315.02,35,0
2026-04-19,5248,229,13344.7,26,0
2026-04-20,4462,127,9254.87,16,0
2026-04-21,4544,136,11739.43,32,0
2026-04-22,4273,127,8794.62,21,0
2026-04-23,3961,94,7713.76,29,0
2026-04-24,4465,142,8032.02,25,0
2026-04-25,4351,200,16699.9,30,0
2026-04-26,5079,199,11537.13,24,0
2026-04-27,4326,148,11414.46,24,0
2026-04-28,3967,111,8228.0,31,0
2026-04-29,4074,154,10617.11,35,0
2026-04-30,4204,137,8914.92,26,0
2026-05-01,4078,144,9837.99,26,0
2026-05-02,4517,205,15966.18,32,0
2026-05-03,5377,227,13452.37,22,0
2026-05-04,4181,137,8637.98,17,0
2026-05-05,4333,162,8854.12,31,0
2026-05-06,4312,152,9927.72,23,0
2026-05-07,4101,141,10331.81,20,0
2026-05-08,4127,139,9026.29,26,0
2026-05-09,5806,269,21159.97,20,0
2026-05-10,5003,253,17016.28,37,0
2026-05-11,3629,119,9040.79,33,0
2026-05-12,4194,128,9007.71,22,0
2026-05-13,4331,169,11746.75,23,0
2026-05-14,4530,133,10119.78,21,0
2026-05-15,4213,176,13908.98,27,0
2026-05-16,5418,228,17492.57,30,0
2026-05-17,5419,236,17039.35,35,0
2026-05-18,4463,149,9942.02,18,0
2026-05-19,4374,180,12494.24,25,0
2026-05-20,4215,159,11874.49,23,0
2026-05-21,3852,123,10848.05,29,0
2026-05-22,4726,164,11431.9,34,0
2026-05-23,4913,175,12144.6,30,0
2026-05-24,5087,238,14401.38,34,0
2026-05-25,4312,144,9131.13,21,0
2026-05-26,4021,128,10305.01,24,0
2026-05-27,4048,165,10129.0,31,0
2026-05-28,3770,127,9116.77,29,0
2026-05-29,3984,175,13250.89,24,0
2026-05-30,5257,259,15847.36,27,0
2026-05-31,5164,217,15334.57,25,0
2026-06-01,4193,123,8150.06,28,0
2026-06-02,3993,120,7569.53,24,0
2026-06-03,4168,103,6392.15,21,0
2026-06-04,3944,98,5462.49,26,0
2026-06-05,4290,90,4588.83,29,0
2026-06-06,4925,148,9431.56,36,0
2026-06-07,5336,154,8292.95,35,0
2026-06-08,4760,114,7189.27,24,0
2026-06-09,4311,118,5999.9,23,0
2026-06-10,4162,118,6753.58,32,0
2026-06-11,4190,95,5172.99,27,0
2026-06-12,4650,114,7146.7,22,0
2026-06-13,5142,125,7855.42,23,0
2026-06-14,5107,192,13235.89,22,0
2026-06-15,3605,84,5009.67,30,0
2026-06-16,3959,125,7312.65,19,0
2026-06-17,3992,103,6674.94,24,0
2026-06-18,4333,133,8864.49,18,0
2026-06-19,4057,137,8684.73,32,0
2026-06-20,5474,191,10190.31,41,0
2026-06-21,5512,153,8701.1,19,0
2026-06-22,4711,142,8801.49,27,0
2026-06-23,4249,124,7358.58,12,0
2026-06-24,3976,113,6332.12,32,0
2026-06-25,4226,141,7091.85,23,0
2026-06-26,4295,118,6674.56,35,0
2026-06-27,4682,167,8218.91,23,0
2026-06-28,5131,175,9334.37,25,0
2026-06-29,4143,123,6863.64,26,0
2026-06-30,4428,136,8636.35,30,0
2026-07-01,4427,110,6168.4,9,0
2026-07-02,4124,120,6497.29,35,0
2026-07-03,4283,103,5056.5,31,0
2026-07-04,5193,173,11335.48,32,0
2026-07-05,5566,194,11642.41,27,0
2026-07-06,4083,128,6228.31,13,0
2026-07-07,4546,104,5524.87,28,0
2026-07-08,4200,120,8588.91,27,0
2026-07-09,4299,102,6033.7,25,0
2026-07-10,3452,96,5332.07,21,0
2026-07-11,6175,216,15464.87,18,0
2026-07-12,5126,162,7757.87,37,0
2026-07-13,4199,125,8069.28,32,0
2026-07-14,4716,111,6708.75,31,0
2026-07-15,4097,83,4732.25,25,0
2026-07-16,4157,130,7834.42,25,0
2026-07-17,4767,145,7950.28,21,0
2026-07-18,5341,206,12410.68,31,0
2026-07-19,4911,171,8978.79,17,0
2026-07-20,4259,129,6599.36,24,0
2026-07-21,4443,84,5299.48,17,0
2026-07-22,4069,131,6019.94,30,0
2026-07-23,3726,85,5005.07,28,0
2026-07-24,4029,111,5811.29,26,0
2026-07-25,5607,174,9655.24,29,0
2026-07-26,5173,160,9048.98,29,0
2026-07-27,4459,131,7266.39,27,0
2026-07-28,4139,112,4663.54,28,0
2026-07-29,4556,138,8377.07,37,0
2026-07-30,4171,129,8642.11,35,0
2026-07-31,4210,121,5810.14,14,0
2026-08-01,4932,167,9638.98,33,0
2026-08-02,5259,206,11077.07,32,0
2026-08-03,4371,136,7541.39,26,0
2026-08-04,4483,123,7992.42,26,0
2026-08-05,4274,112,7251.05,23,0
2026-08-06,4242,83,5743.47,35,0
2026-08-07,4486,144,9419.83,14,0
2026-08-08,5511,196,10823.66,32,0
2026-08-09,5086,206,12465.46,24,0
2026-08-10,4170,159,9240.93,28,0
2026-08-11,4450,152,10586.35,34,0
2026-08-12,4301,149,9173.79,29,0
2026-08-13,4105,107,6314.16,23,0
2026-08-14,4082,127,7771.58,23,0
2026-08-15,4806,160,9311.83,20,0
2026-08-16,5103,159,11478.97,28,0
2026-08-17,4101,113,6361.15,32,0
2026-08-18,4280,117,7614.94,32,0
2026-08-19,4517,118,6389.65,29,0
2026-08-20,3624,70,3272.0,34,0
2026-08-21,4312,133,8074.42,22,0
2026-08-22,6006,217,13359.8,20,0
2026-08-23,5037,168,11672.18,25,0
2026-08-24,4053,106,6541.78,33,0
2026-08-25,3485,83,4924.28,28,0
2026-08-26,4185,134,8151.18,31,0
2026-08-27,4274,113,6997.11,34,0
2026-08-28,4506,144,8028.54,21,0
2026-08-29,5089,146,9707.06,32,0
2026-08-30,4713,139,8033.07,32,0
2026-08-31,4641,132,6742.04,36,0
